Rocket|mission|Agency|date|Location|Remaining date
Atlas V 541|Mars 2020|United Launch Alliance|30/06/2019|Cape Canaveral, FL, USA|
Delta IV Heavy|NROL-82|United Launch Alliance|30/06/2019|Vandenberg AFB, CA, USA|
Ariane 5 ECA|Intelsat 39|Arianespace|31/03/2019|Kourou, French Guiana|
Soyuz-2.1b/Fregat|Meteor-M ?2-2|Khrunichev State Research and Production Space Center|31/03/2019|Vostochny Cosmodrome, Siberia, Russian Federation|
Falcon 9 Block 5|Amos-17|SpaceX|31/03/2019|Cape Canaveral, FL, USA|
Falcon 9 Block 5|Spaceflight GTO-1|SpaceX|31/03/2019|Cape Canaveral, FL, USA|
Vega-C|2 x Pléiades Neo|Arianespace|31/05/2019|Kourou, French Guiana|
Ariane 5 ECA|James Webb Space Telescope (JWST)|Arianespace|29/05/2019|Kourou, French Guiana|
Vega-C|2 x Pléiades Neo|Arianespace|31/05/2019|Kourou, French Guiana|
Ariane 5 ECA|Heinrich Hertz (H2Sat)|Arianespace|31/05/2019|Kourou, French Guiana|
Ariane 62|ARIEL|Arianespace|31/05/2019|Kourou, French Guiana|
Long March 3B|Thaicom-9|China Aerospace Science and Technology Corporation|31/05/2019|Xichang Satellite Launch Center, People's Republic of China|
Long March 5|Chang'e 6|China Aerospace Science and Technology Corporation|31/05/2019|Wenchang Satellite Launch Center, People's Republic of China|
SLS|Exploration Mission 1 (EM-1)|National Aeronautics and Space Administration|31/05/2019|Kennedy Space Center, FL, USA|
Electron|Kleos Scouting Mission|Rocket Lab Ltd|31/05/2019|Onenui Station, Mahia Peninsula, New Zealand|
Falcon 9 Block 5|SpX CRS-18|SpaceX|06/05/2019|Cape Canaveral, FL, USA|
Falcon 9 Block 5|SpX-DM2 (Demonstration Mission 2)|SpaceX|31/05/2019|Kennedy Space Center, FL, USA|
Falcon 9 Block 5|Spaceflight SSO-B|SpaceX|31/05/2019|Vandenberg AFB, CA, USA|
Falcon 9 Block 5|GPS III-5|SpaceX|31/05/2019|Cape Canaveral, FL, USA|
Falcon 9 Block 5|HAKUTO-R Mission 1|SpaceX|31/05/2019|Unknown Location|
Falcon 9 Block 5|HAKUTO-R Mission 2|SpaceX|31/05/2019|Unknown Location|
Delta IV M+(4,2)|GPS III-3|United Launch Alliance|31/05/2019|Cape Canaveral, FL, USA|
Atlas V 551|AFSPC-8|United Launch Alliance|31/05/2019|Cape Canaveral, FL, USA|
Soyuz STB/Fregat|MetOp-C|Arianespace|06/11/2018|Kourou, French Guiana|
Vega|Mohammed VI-B|Arianespace|05/11/2018|Kourou, French Guiana|
Ariane 5 ECA|EDRS-C/HYLAS 3|Arianespace|30/11/2018|Kourou, French Guiana|
Ariane 5 ECA|GEO-KOMPSAT-2A|Arianespace|30/11/2018|Kourou, French Guiana|
Ariane 5 ECA|GSAT-31|Arianespace|30/11/2018|Kourou, French Guiana|
Vega-C|KOMPSAT-7|Arianespace|30/11/2018|Kourou, French Guiana|
PSLV XL|HySIS|Indian Space Research Organization|21/11/2018|Sriharikota, Republic of India|
PSLV|EMISAT|Indian Space Research Organization|30/11/2018|Sriharikota, Republic of India|
